id,age,income
1,44,59212.91665124127
2,33,52831.239055283884
3,47,39641.69631756412
4,18,67332.37950912214
5,30,64068.51414782136
6,40,44596.93168931551
7,27,86966.0879649666
8,35,42135.86853585443
9,32,54880.94899138658
10,38,61668.761739305875
11,19,57050.698890188345
12,31,55477.13137139753
13,52,26886.25233654151
14,38,68717.1541677505
15,28,52500.83235765765
16,47,44412.112612182864
17,32,56062.70291351695
18,20,56544.46908649488
19,35,55590.41245374818
20,27,66629.15794473296
21,19,51034.53477516629
22,36,48445.83570620073
23,30,58776.073456091006
24,31,29833.008789000538
25,31,60571.66997387797
26,40,81264.84263226182
27,47,69201.60673105076
28,39,42204.30564141108
29,43,83966.07505903857
30,29,29699.811806686826
